restaurant_code,menu_name,price,description
5,해피 커스터드 애플크림와플,5300,부드러운 커스터드 크림에 애플시나몬 필링을 더해 애플파이를 오마주한 와플
5,티라미수와플,5400,"와플로 만든 티라미수, 마스카포네치즈가 들어가 더 깊은 풍미로 즐기는 와플"
5,오레오누텔라와플,4700,화이트크림에 누텔라와 초코크런치를 더해 누구나 맛있게 즐길 수 있는 와플
5,치즈케이크&크랜베리와플,4900,밀크크림에 치즈케이크와 크랜베리를 더해 상큼한 맛의 와플
5,크런치딸기잼와플,4700,"화이트크림에 크런치 쿠키와 초코시럽, 딸기시럽을 더해 바삭하게 즐기는 와플"
5,호두고구마와플,4400,"화이트크림과 고구마무스, 호두로 식감까지 더한 든든하고 달콤한 와플"
5,팥스노우와플,4400,화이트크림에 팥앙금과 연유를 더해 달콤하게 즐기는 와플
5,허니브레드와플,3900,화이트크림에 카라멜소스와 시나몬파우더를 더해 달콤하게 즐기는 와플
5,와숫가루레드빈와플,3900,"팥앙금에 미숫가루를 더해 고소하고, 달콤하게 즐기는 와플"
5,베리베리케이크와플,5100,"와플로 만든 베리 케이크, 마스카포네 치즈에 블루베리와 크랜베리를 더해 새콤달콤하게 즐기는 와플"
5,모카케이크와플,5100,"와플로 만든 모카 케이크, 추억의 모카케이크에 크런치를 더해 바삭하게 즐기는 와플"
5,딸기케이크와플,6100,"와플로 만든 딸기 케이크, 화이트크림에 생딸기와 치즈케이크를 더해 진하게 즐기는 와플"
5,바나나와플,4800,"땅콩크림과 생바나나의 조화, 신선한 바나나의 맛을 즐길 수 있는 와플"
5,바나나누텔라와플,5000,화이트크림에 누텔라와 생바나나를 더해 누구나 맛있게 즐길 수 있는 와플
5,블루베리와플,4700,화이트크림에 블루베리를 더해 달콤하게 즐기는 와플
5,베리베리와플,4700,화이트크림에 블루베리와 크랜베리를 더해 상큼 달콤한 와플
